"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c123 a0 o1 t123",0.7645899,0.0199048,0.7233739,0.8013514,"     ","       "
"S sA g1 c123 a110 o111 t233",0.8248853,0.0050858,0.8146927,0.8346311,"     ","       "
"S sB g1 c123 a0 o1 t123",0.8385624,0.0111394,0.8155209,0.8592228,"     ","       "
"S sB g1 c123 a110 o111 t233",0.8217858,0.0068583,0.8079443,0.8348336,"     ","       "
"S sC g1 c123 a0 o1 t123",0.7209987,0.045066,0.6248816,0.8003561,"     ","       "
"S sC g1 c123 a110 o111 t233",0.1517498,0.0283349,0.1041084,0.2159379,"     ","       "
"p sA g1 c123 a1 o1 t124",0.2519434,0.0048913,0.242478,0.2616508,"     ","       "
"Psi sA toB g1 c123 a0 o1 t123",0.0446578,0.0116888,0.0265961,0.0740525,"     ","       "
"Psi sA toB g1 c123 a110 o111 t233",0.0105648,0.0016772,0.0077362,0.0144126,"     ","       "
"Psi sA toC g1 c123 a0 o1 t123",0.0040078,0.0040319,0.0005554281,0.0283112,"     ","       "
"Psi sA toC g1 c123 a110 o111 t233",0.0040092,0.0016271,0.0018079,0.0088669,"     ","       "
"Psi sB toA g1 c123 a0 o1 t123",0.0179922,0.005363,0.0100053,0.032148,"     ","       "
"Psi sB toA g1 c123 a110 o111 t233",0.0207233,0.003028,0.0155503,0.0275689,"     ","       "
"Psi sB toC g1 c123 a0 o1 t123",0.0065907,0.0033194,0.0024501,0.0176054,"     ","       "
"Psi sB toC g1 c123 a110 o111 t233",0.0053059,0.0025181,0.0020894,0.0134071,"     ","       "
"Psi sC toA g1 c123 a0 o1 t123",0.0646966,0.0313722,0.0244271,0.1604356,"     ","       "
"Psi sC toA g1 c123 a110 o111 t233",0.0280723,0.029333,0.0034993,0.1919603,"     ","       "
"Psi sC toB g1 c123 a0 o1 t123",0.0184178,0.0179914,0.002661,0.1165724,"     ","       "
"Psi sC toB g1 c123 a110 o111 t233",0.0660006,0.0406738,0.0190203,0.2047969,"     ","       "
