"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.7772213,0.0167588,0.74266,0.8083389,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8076786,0.0044931,0.7987183,0.8163318,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8325806,0.0106369,0.8106837,0.8524058,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8030162,0.0053,0.7924212,0.8131979,"     ","       "
"S sC g1 c118 a0 o1 t118",0.6480429,0.0430934,0.5597459,0.7272598,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1137597,0.0201233,0.07987,0.1595358,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2425375,0.0040448,0.2346981,0.2505532,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0113909,0.0008530014,0.0098348,0.01319,"     ","       "
